Region_id,Region,Date,total_homes_sold,total_homes_sold_yoy,Cases
26,San Antonio,1/12/20,412,0.29153605,0
26,San Antonio,1/13/20,400,0.25,0
26,San Antonio,1/14/20,400,0.15942029,0
26,San Antonio,1/15/20,432,0.180327869,0
26,San Antonio,1/16/20,456,0.178294574,0
26,San Antonio,1/17/20,434,0.087719298,0
26,San Antonio,1/18/20,428,0.004694836,0
26,San Antonio,1/19/20,426,0,0
26,San Antonio,1/20/20,366,-0.138823529,0
26,San Antonio,1/21/20,398,0.105555556,0
26,San Antonio,1/22/20,372,-0.005347594,0
26,San Antonio,1/23/20,369,0.010958904,0
26,San Antonio,1/24/20,370,-0.013333333,0
26,San Antonio,1/25/20,369,0.03943662,0
26,San Antonio,1/26/20,369,0.025,0
26,San Antonio,1/27/20,452,0.255555556,0
26,San Antonio,1/28/20,436,-0.033259424,0
26,San Antonio,1/29/20,457,0.031602709,0
26,San Antonio,1/30/20,527,0.049800797,0
26,San Antonio,1/31/20,617,-0.020634921,0
26,San Antonio,2/1/20,618,0.018121911,0
26,San Antonio,2/2/20,619,0.031666667,0
26,San Antonio,2/3/20,624,0.038269551,0
26,San Antonio,2/4/20,601,0.077060932,0
26,San Antonio,2/5/20,574,0.095419847,0
26,San Antonio,2/6/20,506,0.102396514,0
26,San Antonio,2/7/20,438,0.377358491,0
26,San Antonio,2/8/20,441,0.26,0
26,San Antonio,2/9/20,440,0.242937853,0
26,San Antonio,2/10/20,426,0.203389831,0
26,San Antonio,2/11/20,442,0.169312169,0
26,San Antonio,2/12/20,455,0.16966581,0
26,San Antonio,2/13/20,476,0.149758454,0
26,San Antonio,2/14/20,527,0.145652174,0
26,San Antonio,2/15/20,526,-0.014981273,0
26,San Antonio,2/16/20,526,-0.014981273,0
26,San Antonio,2/17/20,457,-0.142589118,0
26,San Antonio,2/18/20,510,0.099137931,0
26,San Antonio,2/19/20,513,0.038461538,0
26,San Antonio,2/20/20,531,0.037109375,0
26,San Antonio,2/21/20,496,-0.013916501,0
26,San Antonio,2/22/20,494,0.016460905,0
26,San Antonio,2/23/20,494,0.016460905,0
26,San Antonio,2/24/20,559,0.145491803,0
26,San Antonio,2/25/20,543,-0.088926174,0
26,San Antonio,2/26/20,584,-0.05958132,0
26,San Antonio,2/27/20,628,-0.051359517,0
26,San Antonio,2/28/20,736,-0.173961841,0
26,San Antonio,2/29/20,746,-0.133565621,0
26,San Antonio,3/1/20,747,-0.132404181,0
26,San Antonio,3/2/20,782,-0.089639115,0
26,San Antonio,3/3/20,797,-0.054567023,0
26,San Antonio,3/4/20,757,-0.048994975,0
26,San Antonio,3/5/20,723,-0.039840637,0
26,San Antonio,3/6/20,627,0.137931034,0
26,San Antonio,3/7/20,619,0.123411978,0
26,San Antonio,3/8/20,620,0.07266436,0
26,San Antonio,3/9/20,624,0.074010327,0
26,San Antonio,3/10/20,607,0.042955326,0
26,San Antonio,3/11/20,628,0.071672355,0
26,San Antonio,3/12/20,629,0.0625,0
26,San Antonio,3/13/20,611,0.077601411,0
26,San Antonio,3/14/20,608,0.095495495,0
26,San Antonio,3/15/20,606,0.025380711,3
26,San Antonio,3/16/20,618,0.047457627,3
26,San Antonio,3/17/20,630,0.069609508,3
26,San Antonio,3/18/20,617,0.058319039,4
26,San Antonio,3/19/20,583,-0.015202703,6
26,San Antonio,3/20/20,588,-0.063694268,12
26,San Antonio,3/21/20,594,-0.027823241,24
26,San Antonio,3/22/20,594,0.08,24
26,San Antonio,3/23/20,558,0.016393443,24
26,San Antonio,3/24/20,534,-0.029090909,57
26,San Antonio,3/25/20,552,-0.019538188,69
26,San Antonio,3/26/20,568,-0.012173913,84
26,San Antonio,3/27/20,566,-0.072131148,113
26,San Antonio,3/28/20,562,-0.185507246,125
26,San Antonio,3/29/20,563,-0.368125701,140
26,San Antonio,3/30/20,591,-0.33818589,157
26,San Antonio,3/31/20,698,-0.217488789,168
26,San Antonio,4/1/20,664,-0.249717514,207
26,San Antonio,4/2/20,654,-0.226950355,229
26,San Antonio,4/3/20,612,-0.225316456,254
26,San Antonio,4/4/20,610,-0.129814551,342
50,El Paso,1/7/20,93,0.081395349,0
50,El Paso,1/8/20,105,0.206896552,0
50,El Paso,1/9/20,104,0.650793651,0
50,El Paso,1/10/20,118,0.710144928,0
50,El Paso,1/11/20,117,0.344827586,0
50,El Paso,1/12/20,119,0.4,0
50,El Paso,1/13/20,121,0.406976744,0
50,El Paso,1/14/20,137,0.412371134,0
50,El Paso,1/15/20,151,0.324561404,0
50,El Paso,1/16/20,162,0.296,0
50,El Paso,1/17/20,140,0.02189781,0
50,El Paso,1/18/20,138,0.104,0
50,El Paso,1/19/20,137,0.10483871,0
50,El Paso,1/20/20,120,-0.032258065,0
50,El Paso,1/21/20,133,0.127118644,0
50,El Paso,1/22/20,127,0.144144144,0
50,El Paso,1/23/20,125,0.168224299,0
50,El Paso,1/24/20,128,0.347368421,0
50,El Paso,1/25/20,129,0.303030303,0
50,El Paso,1/26/20,128,0.292929293,0
50,El Paso,1/27/20,143,0.415841584,0
50,El Paso,1/28/20,143,0.232758621,0
50,El Paso,1/29/20,147,0.185483871,0
50,El Paso,1/30/20,158,0.128571429,0
50,El Paso,1/31/20,199,0.228395062,0
50,El Paso,2/1/20,202,0.278481013,0
50,El Paso,2/2/20,202,0.270440252,0
50,El Paso,2/3/20,211,0.352564103,0
50,El Paso,2/4/20,190,0.283783784,0
50,El Paso,2/5/20,175,0.286764706,0
50,El Paso,2/6/20,159,0.303278689,0
50,El Paso,2/7/20,113,0.215053763,0
50,El Paso,2/8/20,108,0.24137931,0
50,El Paso,2/9/20,109,0.112244898,0
50,El Paso,2/10/20,108,0.090909091,0
50,El Paso,2/11/20,112,0.191489362,0
50,El Paso,2/12/20,118,0.18,0
50,El Paso,2/13/20,122,0.207920792,0
50,El Paso,2/14/20,135,0.310679612,0
50,El Paso,2/15/20,138,0.112903226,0
50,El Paso,2/16/20,138,0.221238938,0
50,El Paso,2/17/20,116,0.035714286,0
50,El Paso,2/18/20,129,0.252427184,0
50,El Paso,2/19/20,133,0.166666667,0
50,El Paso,2/20/20,140,0.102362205,0
50,El Paso,2/21/20,150,0.086956522,0
50,El Paso,2/22/20,149,0.128787879,0
50,El Paso,2/23/20,148,0.112781955,0
50,El Paso,2/24/20,169,0.26119403,0
50,El Paso,2/25/20,162,0.051948052,0
50,El Paso,2/26/20,166,0.121621622,0
50,El Paso,2/27/20,168,0.098039216,0
50,El Paso,2/28/20,194,0,0
50,El Paso,2/29/20,198,-0.01980198,0
50,El Paso,3/1/20,200,-0.019607843,0
50,El Paso,3/2/20,209,0.02955665,0
50,El Paso,3/3/20,211,0.009569378,0
50,El Paso,3/4/20,201,-0.047393365,0
